Start,Border,End,Score
1752039772220,1752039777263,1752039782308,0.041519020583507926
1752039777263,1752039782308,1752039787351,0.012695246144331596
1752039782308,1752039787351,1752039792395,0.31879873656438873
1752039787351,1752039792395,1752039797439,0.005654718846250295
1752039792395,1752039797439,1752039802484,0.003394065171644811
1752039797439,1752039802484,1752039807528,0.006684385224832001
1752039802484,1752039807528,1752039812572,0.007073503119818081
1752039807528,1752039812572,1752039817616,0.005302599987157264
1752039812572,1752039817616,1752039822660,0.00695009893822035
1752039817616,1752039822660,1752039827704,0.009028969192810876
1752039822660,1752039827704,1752039832748,0.007045169386250216
1752039827704,1752039832748,1752039837792,0.011943467323042967
1752039832748,1752039837792,1752039842836,0.004263363971859835
1752039837792,1752039842836,1752039847880,0.004118577615114749
1752039842836,1752039847880,1752039852924,0.00860911483410165
1752039847880,1752039852924,1752039857968,1.1535880489743633e-07
1752039852924,1752039857968,1752039863012,0.004846765038983791
1752039857968,1752039863012,1752039868056,1.8804042151154832e-07
1752039863012,1752039868056,1752039873100,0.0046587177504933686
1752039868056,1752039873100,1752039878144,0.0068650691029849
1752039873100,1752039878144,1752039883188,0.006376017669070866
1752039878144,1752039883188,1752039888232,0.007624207009572004
1752039883188,1752039888232,1752039893276,0.004590808049287576
1752039888232,1752039893276,1752039898320,0.2766971509226436
1752039893276,1752039898320,1752039903364,0.0059286531546778876
1752039898320,1752039903364,1752039908408,0.010334438485731956
1752039903364,1752039908408,1752039913452,4.208940230815417e-05
1752039908408,1752039913452,1752039918496,1.0150445875862422
1752039913452,1752039918496,1752039923540,2.6305174705143486e-09
1752039918496,1752039923540,1752039928584,1.3997252605072252
1752039923540,1752039928584,1752039933628,1.5937174760717994
1752039928584,1752039933628,1752039938672,3.3015419054205353e-07
1752039933628,1752039938672,1752039943716,0.005347123004942611
1752039938672,1752039943716,1752039948760,0.007902465478118459
1752039943716,1752039948760,1752039953804,0.01353979066947908
1752039948760,1752039953804,1752039958848,0.15119401636724605
1752039953804,1752039958848,1752039963892,6.973479663791027e-05
1752039958848,1752039963892,1752039968937,0.32357059764463236
1752039963892,1752039968937,1752039973980,8.410756754628768e-05
1752039968937,1752039973980,1752039979025,0.0059083343230139085
1752039973980,1752039979025,1752039984069,0.003051453912103097
1752039979025,1752039984069,1752039989113,0.004092267566854713
1752039984069,1752039989113,1752039994156,1.1681212597203228e-07
1752039989113,1752039994156,1752039999201,0.29908432849057043
1752039994156,1752039999201,1752040004245,0.4702570397405881
1752039999201,1752040004245,1752040009289,0.004924356357948467
1752040004245,1752040009289,1752040014333,0.0067067125456636845
1752040009289,1752040014333,1752040019377,0.01515656042545116
1752040014333,1752040019377,1752040024421,0.01716200632998427
1752040019377,1752040024421,1752040029465,0.3080773261195412
1752040024421,1752040029465,1752040034509,1.4118766485626713
1752040029465,1752040034509,1752040039553,0.005040650786351741
1752040034509,1752040039553,1752040044597,0.713933263507186
1752040039553,1752040044597,1752040049641,0.27524602572308915
1752040044597,1752040049641,1752040054685,2.765349074729251e-07
1752040049641,1752040054685,1752040059729,0.011519683251742074
1752040054685,1752040059729,1752040064774,0.270881531348696
1752040059729,1752040064774,1752040069818,0.004350584228178633
1752040064774,1752040069818,1752040074862,0.007961071215539406
1752040069818,1752040074862,1752040079905,0.7365233809669841
1752040074862,1752040079905,1752040084950,0.002500501076677375
1752040079905,1752040084950,1752040089994,0.009094353777423347
1752040084950,1752040089994,1752040095038,0.01696814437659322
1752040089994,1752040095038,1752040100082,0.006467952042784442
1752040095038,1752040100082,1752040105126,9.248695626018488e-08
1752040100082,1752040105126,1752040110170,0.012188872161218611
1752040105126,1752040110170,1752040115214,0.3851433001052103
1752040110170,1752040115214,1752040120258,0.0022432080264294663
1752040115214,1752040120258,1752040125302,0.011700110921730567
1752040120258,1752040125302,1752040130346,0.2855804274485079
1752040125302,1752040130346,1752040135390,0.00765809216335861
